작성자,리뷰내용,방문일,방문횟수,인증
릴리릴리67,좋아요,2021년 5월 20일 목요일,1번째 방문,
니망고나,굿,2021년 2월 25일 목요일,1번째 방문,
asj****,정말 맛있어요,2020년 12월 31일 목요일,1번째 방문,
JK17,항상맛있게 잘먹습니다,2020년 12월 19일 토요일,3번째 방문,
여우로기맘,첫 모금에 약간 까끌거리는 감이 있어서.. 별 반개 살짝빼요,2020년 11월 12일 목요일,1번째 방문,
프랭크22,빠르고 친절합니다,2020년 12월 24일 목요일,1번째 방문,
연필로 끼적끼적,빠르고 편해요!,2020년 12월 23일 수요일,1번째 방문,
arm****,맛있고 편해요.,2020년 12월 23일 수요일,1번째 방문,
shshshsh67,쏘 스윗 친절 감사합니다,2020년 12월 23일 수요일,1번째 방문,
오리꽥꽥88,따뜻하고 맛나요 ^^,2020년 12월 23일 수요일,1번째 방문,
뛰어넘기,공부하거나 혼자 오신 분들이 대다수로 조용해요. 친절합니다.,2020년 10월 19일 월요일,1번째 방문,
criss04,흠 그냥 보통입니다. 주차 어렵고 주차비도 잠깐 주차하는데도 받네요. ㅠㅡㅠ,2020년 10월 31일 토요일,1번째 방문,
criss04,조용함. 주차비 비쌈,2020년 11월 17일 화요일,2번째 방문,
쫑이28,깔끔하고 쾌적한 매장이에요~,2020년 10월 17일 토요일,2번째 방문,
쫑이28,커피의 쓴맛도 적당하고 먹기 좋아요~,2020년 10월 17일 토요일,1번째 방문,
쫑이28,다양한 케익이 구비되어 있어요~~,2020년 10월 17일 토요일,3번째 방문,
ghm7221,매장도 깔끔하고 좋습니다,2020년 11월 18일 수요일,1번째 방문,
Jeeyoung,블루베리치즈케잌이 생각보다 단단해서 먹기 힘들지만 맛있어요,2020년 10월 23일 금요일,7번째 방문,
unk****,스타벅스라떼최고ㅜㅜ,2020년 11월 8일 일요일,4번째 방문,
Jeeyoung,친절하고 깨끗한 매장입니다,2020년 10월 19일 월요일,6번째 방문,
Winterisback,좋아요 스벅,2021년 2월 3일 수요일,1번째 방문,
Jeeyoung,스프가 항상 맛있고 직원들이 친절합니다,2020년 10월 16일 금요일,5번째 방문,
웨스트91,역시 콜드블루 맛있어요.,2020년 10월 7일 수요일,1번째 방문,
S7085,조아요,2021년 1월 30일 토요일,1번째 방문,
민트쪼꼬29,직원분들 친절하고 커피도맛있어요,2020년 11월 7일 토요일,1번째 방문,
원영47,집근처에 스타벅스가 있어서 좋네요^^,2020년 11월 2일 월요일,1번째 방문,
차차네,네이버 스마트오더 편리하고 포인트 쌓여 너무 좋아요~,2020년 12월 24일 목요일,2번째 방문,
포니5189,항상 먹던 그맛,2020년 10월 25일 일요일,1번째 방문,
criss04,맛있음~,2020년 12월 8일 화요일,5번째 방문,
Sunny Cactus,코로나로 인해 매장에서 마실 수가 없어 아쉬웠습니다. 주변과 겉에서 보는 매장이미지보다는 내부가 훨씬 좋아보이는 곳이네요. 커피맛은 저에게는 5점 만점에 3.5점정도였습니다.,2020년 9월 5일 토요일,1번째 방문,
찐찐686,샌드위치 맛있음👍,2020년 11월 22일 일요일,1번째 방문,
하늘구름빵,맛있어요~~,2020년 12월 15일 화요일,1번째 방문,
duk****,뒤에 사람들 기다리지 않도록 두명이 카운터봤음 좋겠음,2020년 10월 9일 금요일,5번째 방문,
파랭이엘프,딸기요거트 맛있네요~,2020년 9월 20일 일요일,1번째 방문,
168CM,,2020년 10월 31일 토요일,3번째 방문,
milky116,"쿠폰금액이 딱 떨어지지 않으면 사용을 못한대요.
남기는 금액 안쓴다해도요ㅠ
왜죠??",2020년 10월 3일 토요일,2번째 방문,
criss04,좋음,2020년 12월 1일 화요일,4번째 방문,
이쓸,맛있어용❤️,2020년 10월 19일 월요일,5번째 방문,
쏠미레도,음료 늘 맛 좋아요 😚,2020년 9월 26일 토요일,7번째 방문,
도토리4261,돌체,2020년 11월 12일 목요일,1번째 방문,
배뚱,스따벅스명불허전다들친절해요,2020년 9월 14일 월요일,1번째 방문,
쏠미레도,늘 음료 맛 좋아요,2020년 9월 25일 금요일,6번째 방문,
이쓸,바닐라라떼에서 바닐라맛이 하나도 안나요...,2020년 10월 8일 목요일,2번째 방문,
소영4483,좋았습니다 맛있습니다,2020년 10월 20일 화요일,4번째 방문,
이쓸,따뜻하구 맛있어요!,2020년 10월 15일 목요일,4번째 방문,
criss04,좋아요,2020년 11월 22일 일요일,3번째 방문,
milky116,친절,2020년 12월 11일 금요일,3번째 방문,
wianznwm,맛있습니다,2020년 12월 24일 목요일,1번째 방문,
ahn****,넓고 사람많은곳.직원들 능숙해서 일처리 빠른곳~,2020년 8월 29일 토요일,1번째 방문,
개구리4625,늘 사람이 많던데 코로나 재확산때문인지 좀 한갓지네요.,2020년 8월 28일 금요일,1번째 방문,
아들짱맘,커피마실땐 스타벅스가 편하긴해요,2020년 8월 26일 수요일,1번째 방문,
dbgml0815,좋아요,2020년 12월 19일 토요일,1번째 방문,
par****,커피는 별다방~~~~ 최고,2020년 10월 24일 토요일,1번째 방문,
remnantop,좋아요,2020년 12월 2일 수요일,4번째 방문,
ahn****,직원들 프로페셔널한 곳,2020년 9월 23일 수요일,3번째 방문,
Jeeyoung,위생관리 철저하고 빨리 나옵니다,2020년 9월 18일 금요일,2번째 방문,
yeon918,그냥 그래요~~예전보다는 맛이 그러네요 ~~,2020년 9월 21일 월요일,1번째 방문,
DanBee91,맛있어요...,2020년 11월 20일 금요일,7번째 방문,
way to go91,친절하고 좋아요,2020년 10월 17일 토요일,1번째 방문,
168CM,여기 되게 좋아요~ 넓고 쾌적하고 ~,2020년 7월 12일 일요일,1번째 방문,
소영4483,좋았습니다 추천합니다,2020년 10월 20일 화요일,1번째 방문,
YuppyHyun,항상 주문해서 잘 마사고 있습니다,2020년 9월 15일 화요일,2번째 방문,
kjww4505,빠르네 나와요 맛좋아요,2020년 10월 18일 일요일,1번째 방문,
kys8222929,좋아오,2020년 11월 5일 목요일,1번째 방문,
룰루70,좋아여,2020년 11월 6일 금요일,2번째 방문,
remnantop,친절해요,2020년 11월 27일 금요일,3번째 방문,
Jeeyoung,빠른시간에 받았습니다,2020년 9월 25일 금요일,4번째 방문,
jungdaeman,맛있어요:),2020년 11월 4일 수요일,1번째 방문,
Gdaegg,사람 많고 콘센트 수 적은거 빼고는 괜찮았던 곳,2020년 9월 14일 월요일,1번째 방문,
그린비9279,좋아요,2020년 11월 30일 월요일,1번째 방문,
러키587,친절해요,2020년 10월 24일 토요일,3번째 방문,
dld****,사람 넘 많아서 테이크아웃ㅜㅜ주차장유료지만 얼른 커피만 사갖고 나온다했어용,2020년 8월 25일 화요일,1번째 방문,
챙도님,친절하고 공부쟁이들이 많아서 같이 공부하기엔 좋아욤!,2020년 7월 28일 화요일,1번째 방문,
lem****,굿,2020년 11월 22일 일요일,1번째 방문,
더 펜슬,스타벅스 넘 굿,2020년 9월 27일 일요일,1번째 방문,
아름다운 삶57,좋아요,2020년 10월 19일 월요일,1번째 방문,
u09070907,스타벅스,2020년 10월 31일 토요일,1번째 방문,
77224,파트너가 결제 실수해서 돈 더 나감...,2020년 8월 27일 목요일,1번째 방문,
Jeeyoung,맛있어여~,2020년 10월 26일 월요일,8번째 방문,
수빈5572,맛있어요,2020년 10월 29일 목요일,4번째 방문,
sen****,그냥,2020년 10월 24일 토요일,1번째 방문,
DanBee91,맛있어요..,2020년 10월 30일 금요일,3번째 방문,
Hollo23,"사람 너무 많아요.
잘 마시고 왓어요",2020년 8월 8일 토요일,1번째 방문,
킴5695,친절해요,2020년 11월 4일 수요일,1번째 방문,
unk****,"내가좋아하는스타벅스!!~~
속이답답할땐쿨라임피지오!!~~ㅋ",2020년 6월 6일 토요일,1번째 방문,
아옹다옹33,관리를 잘해놔서 좋네요,2020년 9월 8일 화요일,1번째 방문,
개바라기46,"커피 맛있어요
맛집임",2020년 9월 11일 금요일,1번째 방문,
으으으ㅁ,굿,2020년 11월 2일 월요일,1번째 방문,
boo****,굳,2020년 11월 2일 월요일,1번째 방문,
초이드림,좋아요^^,2020년 11월 2일 월요일,1번째 방문,
2SAlice,카페라떼 맛있어요.,2020년 8월 2일 일요일,2번째 방문,
영림천사,좋아요 ♡,2020년 8월 24일 월요일,2번째 방문,
정지선6433,콘센트 수가 다소 부족해서 아쉬웠어요.ㅠ.ㅠ,2020년 7월 21일 화요일,1번째 방문,
lin****,시원하니 좋네요^^,2020년 6월 28일 일요일,2번째 방문,
ahn****,친절쓰,2020년 9월 28일 월요일,4번째 방문,
rnfejr5596,"친절해서 좋아요
안에도 깨끗하고 깔끔해요~",2020년 6월 30일 화요일,1번째 방문,
vld22,굳,2020년 10월 26일 월요일,1번째 방문,
수빈5572,좋아요,2020년 10월 20일 화요일,2번째 방문,
이쓸,맛있어요~~~,2020년 10월 14일 수요일,3번째 방문,
qns00,좋아요,2020년 10월 24일 토요일,1번째 방문,
지은2955,넓고 좋아요~늘 사람이 많아요,2020년 7월 29일 수요일,1번째 방문,
지니3163,직원분들 친절해요 손님들이 많이 모이는 까페에요,2020년 7월 31일 금요일,1번째 방문,
nh****,별로입니다,2020년 10월 1일 목요일,1번째 방문,
gtn****,깨끗하고 매우 친절하다,2020년 8월 19일 수요일,2번째 방문,
DJBOS,좋아요,2020년 10월 18일 일요일,1번째 방문,
shd****,좋아요,2020년 10월 18일 일요일,1번째 방문,
smg5041,ㅡ,2020년 9월 28일 월요일,1번째 방문,
히히2279,좋아요.,2020년 10월 17일 토요일,1번째 방문,
iam****,창이 커서 시원한느낌. 직원들 굉장히 친절.,2020년 6월 22일 월요일,1번째 방문,
unk****,우리동네!!,2020년 8월 23일 일요일,2번째 방문,
hap****,좋아요,2020년 10월 14일 수요일,1번째 방문,
하준파파47,굳,2020년 10월 8일 목요일,2번째 방문,
데헷9872,항상 사람이 많아요,2020년 8월 12일 수요일,1번째 방문,
쭌스파파,"#자바 칩
맛있네.",2020년 7월 15일 수요일,1번째 방문,
오렌지886,음료와 분위기가 좋아요,2020년 8월 15일 토요일,1번째 방문,
아모르파티7713,굿굿 맛있습니다,2020년 8월 13일 목요일,1번째 방문,
돈없어,공부하기 좋아유~~!!,2020년 8월 12일 수요일,2번째 방문,
이용호,깔끔하고 좋네요..,2020년 8월 13일 목요일,1번째 방문,
owlowo,사람이 많은거 빼곤 다 좋아요,2020년 5월 31일 일요일,1번째 방문,
마장난하나,친절하세용💙💙💙,2020년 8월 12일 수요일,1번째 방문,
ING30,"맛있고 파트너님도 친절하셔서 좋아요
근데 스타벅스가 이 근처에 요기밖에 없어서 그런지 항상 사람이 많아요ㅠ",2020년 6월 30일 화요일,1번째 방문,
소소1492,1층이라서 사람들 몰릴때는 엄청 시끄러워요ㅜㅜ,2020년 7월 15일 수요일,1번째 방문,
inne99,레드벨벳케익 존맛!,2020년 7월 12일 일요일,1번째 방문,
yw****,직원분도 친절하시고 주차 공간이 있어서 좋아요.,2020년 7월 12일 일요일,1번째 방문,
yeon918,괜찮아요~,2020년 9월 28일 월요일,2번째 방문,
태현밥팅,너무 복잡해요,2020년 6월 30일 화요일,1번째 방문,
Komaya,맛있떠요~,2020년 10월 3일 토요일,1번째 방문,
Jeeyoung,친절하세요,2020년 9월 21일 월요일,3번째 방문,
ato****,깨끗하고 좋아요,2020년 7월 27일 월요일,3번째 방문,
렁렁렁,사람 많지만 항상 친절하고 좋아요,2020년 7월 9일 목요일,1번째 방문,
로맨틱 니키,친절한 분들이 커피를 만들어 주세요.,2020년 6월 5일 금요일,1번째 방문,
ililililiiiiiiiii,아우 답답. 아침에 카드선물로 새로 사면서 ㅡㅡ 종이에 껴서 주시길래 열리는 부분 봉하고 싶어서. 책상에. 문방구에서 파는 일반동그라미 테이프가있길래 하나만 주실수있냐고 부탁드렸더니 매장에서 ㅡㅡ쓰는 테잎이라 안된다고ㅡㅡ 헉 ㅡㅡ 그냥 테잎이필요했을뿐인데 센스없어서 ㅡㅡ 어휴답답,2020년 5월 27일 수요일,1번째 방문,
이쓸,맛있어요~,2020년 9월 29일 화요일,1번째 방문,
qkrdmsdo,친절해요,2020년 9월 27일 일요일,1번째 방문,
옐로우프레이,,2020년 7월 26일 일요일,1번째 방문,
치이이이이이즈,,2020년 7월 12일 일요일,1번째 방문,
고씨86,텀블러 넘 예쁩니다 가게가 바쁩니다,2020년 9월 29일 화요일,2번째 방문,
요요2682,넓고좋았어요,2020년 7월 27일 월요일,1번째 방문,
킴킴11,굿,2020년 9월 17일 목요일,1번째 방문,
돈없어,맛있고 직원분들도 친절해요^^,2020년 6월 22일 월요일,1번째 방문,
우정우정2,스타벅스송차개롱역점,2020년 7월 17일 금요일,1번째 방문,
러키587,스타벅스는 직원분들이 친절해요~,2020년 5월 18일 월요일,1번째 방문,
sra****,맛있었어요,2020년 9월 12일 토요일,1번째 방문,
구리각시,.,2020년 8월 23일 일요일,1번째 방문,
jhg****,"와악ㅜㅜ
진짜너무화난다
커피맛최악이라영수증리뷰쓰는데 영수증은 나는분명 바닐리라떼 그란떼싸이즈로시켰는데 라떼에 바닐라시럽추가가 왠말이죠?

기가막히네ㅠㅜ
커피맛도누가봐도 샷이덜들어간게티가나는데

와..매장다시가서 말하고싶은데 가지고나온 포장이라 이러지도못하고
진짜어의없네",2020년 4월 6일 월요일,2번째 방문,
jhg****,"와..
직장근처라서가는데

저번에는 사람많아 커피맛이 완전 이상했고
이번에는 누가봐도 아메와 바닐라라떼는 샷이덜들어간티가나서 매장에서 먹었으면당장가서말했을테지만 포장으로가져와서 열불나게먹음..

스벅은진한맛에먹는데 매번갈때마다이러면 교육이잘못된거아닌지 의심됨ㅠㅜ",2020년 4월 6일 월요일,3번째 방문,
히용,스벅맛있어요,2020년 7월 17일 금요일,1번째 방문,
2SAlice,커피도 맛있고 친절해요.,2020년 7월 13일 월요일,1번째 방문,
영림천사,좋아요 ♥︎,2020년 8월 1일 토요일,1번째 방문,
JH8020,,2020년 6월 21일 일요일,1번째 방문,
par****,직원들이 친절하다,2020년 7월 7일 화요일,1번째 방문,
gtn****,깨끗하고 친절해요,2020년 7월 7일 화요일,1번째 방문,
롱이5156,불친절해서 기분이 좋진 않았습니다. 고생하시는건 알고있지만 너무 아쉽네요,2020년 7월 19일 일요일,2번째 방문,
뭐그런걸다,디카페인아메리ㅏ노있어서 좋아요,2020년 6월 7일 일요일,1번째 방문,
갱2418,커피 맛있어요,2020년 7월 4일 토요일,1번째 방문,
서윤정62,친절해요,2020년 8월 27일 목요일,1번째 방문,
ARA 다이,자주 가요,2020년 8월 7일 금요일,1번째 방문,
JOHN69,"여긴 늘 유독 시끄러움.
동네 아줌마들 애들 난장판.",2020년 5월 2일 토요일,1번째 방문,
덴덴10,굿,2020년 12월 30일 수요일,1번째 방문,
평정심87,망고바나나셔벗 맛있어요~~,2020년 4월 26일 일요일,1번째 방문,
dlstjs369,조아요,2020년 8월 21일 금요일,1번째 방문,
아츄71,사람이 항상 너무 많아서 음료 고를 수 있는 기준도 줄어든다 ㅠ,2020년 5월 30일 토요일,1번째 방문,
HAECCI,스타벅스는 언제나 좋아요,2020년 4월 25일 토요일,4번째 방문,
lea****,스타벅스는 굿굿이죠,2020년 5월 27일 수요일,1번째 방문,
온전히 싸랑,쾌적했어요,2020년 6월 24일 수요일,1번째 방문,
kimhj21,음료도 맛있고 종이빨대도 맛있어요,2020년 4월 26일 일요일,1번째 방문,
고씨86,넓어요 좋아요,2020년 9월 26일 토요일,1번째 방문,
hap****,,2020년 7월 20일 월요일,1번째 방문,
미미몽시리,아아는 스타벅스,2020년 5월 23일 토요일,1번째 방문,
Wopov,빠르고 시원하고 좋아요,2020년 6월 18일 목요일,1번째 방문,
망고스무디48,"커피 맛집#
우리집이 스벅이고 싶다#",2020년 5월 10일 일요일,2번째 방문,
JiWonii,조아용,2020년 8월 12일 수요일,1번째 방문,
연두 돌멩이,아메리카노에서 탄 맛이 많이나요.....ㅜㅜ,2020년 4월 21일 화요일,1번째 방문,
jih****,날이 더워지니 아아만한게 없네요,2020년 5월 18일 월요일,1번째 방문,
이현8870,굳 음료 괜찮아요 좀 소란스럽지만,2020년 5월 9일 토요일,1번째 방문,
써니텐이힛,친절해요,2020년 7월 2일 목요일,1번째 방문,
브로쿨리,,2020년 6월 16일 화요일,1번째 방문,
히용,맛있어요,2020년 7월 29일 수요일,2번째 방문,
kk****,가까운 참새방앗간.,2020년 5월 26일 화요일,1번째 방문,
주디6612,너무 좋은데 사람 너무 많아,2020년 3월 29일 일요일,1번째 방문,
당근두개세개,달달하니 맛있어요,2020년 5월 29일 금요일,1번째 방문,
이현8870,신메뉴 맛있어요!!,2020년 5월 17일 일요일,2번째 방문,
ato****,맛있어요,2020년 7월 13일 월요일,2번째 방문,
jw9****,다 좋고 맛있는데 정신없어요ㅠ 매장도 시끄럽구,2020년 7월 17일 금요일,1번째 방문,
로맨틱 니키,친절해요~~^^,2020년 6월 11일 목요일,2번째 방문,
곽이쁨,,2020년 5월 14일 목요일,3번째 방문,
sooooh,자몽허니블랙티 넘 맛있어요,2020년 3월 18일 수요일,2번째 방문,
이민재1913,좋아요,2020년 7월 12일 일요일,1번째 방문,
hyereem,커피 맛집 인증!,2020년 5월 7일 목요일,1번째 방문,
ato****,좋아요,2020년 7월 5일 일요일,1번째 방문,
딸기4733,맛있어요,2020년 7월 5일 일요일,1번째 방문,
우리영배,같은 음룐데 맛 거지같았음,2020년 4월 13일 월요일,1번째 방문,
희야4068,좋아요,2020년 7월 4일 토요일,1번째 방문,
미리내269,좋아요,2020년 5월 9일 토요일,1번째 방문,
시미2135,"매장도 넓고 메뉴도 다양해서
언제나 사람들이 많은 매장이에요
저는 북적한곳을 좋아아지 않지만
젊은분들이 좋아할거 같네요^^",2019년 12월 29일 일요일,1번째 방문,
수정4780,치즈도 올라가고 정말 맛있어용!,2020년 1월 11일 토요일,4번째 방문,
wlstmdqkr123,좋아효,2020년 5월 28일 목요일,3번째 방문,
hee****,아주좋아요 친절 최고,2020년 5월 3일 일요일,1번째 방문,
JA6957,,2020년 5월 14일 목요일,2번째 방문,
sooooh,허니자몽블랙티 먹으러 자주가는 스타벅스,2020년 2월 21일 금요일,1번째 방문,
wlstmdqkr123,좋아요,2020년 5월 21일 목요일,2번째 방문,
goodlife83,친절하고 매장도 깨끗하고 좋아요~^^,2020년 3월 4일 수요일,4번째 방문,
HAECCI,좋아요👍,2020년 4월 25일 토요일,5번째 방문,
켈리225,좋아요,2020년 4월 26일 일요일,1번째 방문,
HAECCI,맛있어요👍,2020년 4월 23일 목요일,2번째 방문,
HAECCI,굿,2020년 4월 23일 목요일,3번째 방문,
축복맘 스마일,늘 그렇듯이 스벅은 어디든 사람이 많네요. 개롱점도 장사가 너무 잘되는지 사람 많아서 시끌시끌했어요. 음료 빨리나와서 좋았어요.,2020년 1월 9일 목요일,1번째 방문,
주디6612,굳굳굳,2020년 4월 12일 일요일,2번째 방문,
서비편,좋아요,2020년 5월 21일 목요일,1번째 방문,
pig****,조아요,2020년 5월 17일 일요일,1번째 방문,
jhg****,바쁠땐 음료맛이 별로...,2020년 2월 1일 토요일,1번째 방문,
은비5780,직원분께서 센스 넘치세용 ㅋㅋ,2020년 1월 20일 월요일,1번째 방문,
뚠뚠3765,항상사람너무많음,2020년 1월 25일 토요일,1번째 방문,
신마쓰,아르바이트 및 서버 분들 친절하심 주문하는 데스크와 테이블 사이에 간격이 좁아 주말은 대기 하면 좀 불편한 구조 아이와 다닐때는 주의 필요,2019년 12월 14일 토요일,1번째 방문,
수정4780,"케익이 없어요 ㅠㅠ
테이블도 안닦어주시고ㅠ",2020년 1월 1일 수요일,3번째 방문,
lkh****,좋아요,2021년 2월 11일 목요일,1번째 방문,
단비1008,좋아요,2020년 11월 13일 금요일,1번째 방문,
bor****,좋아요,2020년 8월 18일 화요일,1번째 방문,
로229,넓고좋아요,2020년 3월 3일 화요일,10번째 방문,
김거북이,너무 사람 많아서 도떼기 시장 같음,2020년 1월 9일 목요일,1번째 방문,
손권25,스벅상품권,2020년 2월 3일 월요일,2번째 방문,
ran100424,굿,2021년 1월 11일 월요일,2번째 방문,
미니언즈58,굿굿,2020년 10월 20일 화요일,1번째 방문,
milky116,스벅이죠!,2020년 2월 29일 토요일,1번째 방문,
와우보이,,2020년 1월 14일 화요일,2번째 방문,
빈즈매니아,친절해요,2020년 2월 16일 일요일,1번째 방문,
롱이5156,최고에요,2020년 5월 6일 수요일,1번째 방문,
younggilgo,굿,2020년 3월 14일 토요일,1번째 방문,
부진,사람이 너무 많아요,2020년 1월 9일 목요일,1번째 방문,
하나님사람76,너무 좋아요,2020년 3월 6일 금요일,1번째 방문,
수정4780,,2019년 12월 25일 수요일,2번째 방문,
JOJ,항상 사람들이 너무 많아서 자리 찾기가 어렵다. 근처에 큰 커피숍이 없어서 여기에 너무 몰린다. 하지만 다른 선택의 여지가 없어서 나도 여기간다...,2019년 9월 8일 일요일,2번째 방문,
ice****,맛도 서비스도 굿,2019년 12월 16일 월요일,2번째 방문,
pow****,커피 맛있어요.,2019년 12월 21일 토요일,1번째 방문,
벌꿀84,맛있어욧,2020년 2월 13일 목요일,1번째 방문,
다라이76,굿,2020년 3월 31일 화요일,1번째 방문,
수수한녹차,항상 자리가 없고 애기들이 많아서 시끄러운 것 빼곤 다 괜찮인요,2019년 9월 19일 목요일,1번째 방문,
윤사랑12,굿,2020년 8월 5일 수요일,1번째 방문,
hyun7454,좋아요,2020년 10월 26일 월요일,1번째 방문,
윤거,커서 좋은데 콘센트가 별로 없어여ㅠ,2019년 10월 12일 토요일,1번째 방문,
JIA29,좋아요😀,2020년 4월 2일 목요일,1번째 방문,
wld****,일일 일스벅👍개롱에 있어서 좋아요,2019년 9월 25일 수요일,3번째 방문,
손권25,스타벅스,2019년 10월 28일 월요일,1번째 방문,
rai****,굿 코피,2020년 3월 14일 토요일,1번째 방문,
ky****,최고,2020년 9월 30일 수요일,1번째 방문,
wld****,집앞스벅 넘죠아~~~,2019년 10월 7일 월요일,4번째 방문,
shi****,굿,2019년 12월 2일 월요일,1번째 방문,
wld****,집앞스벅 너무좋아요~~~,2019년 9월 16일 월요일,2번째 방문,
nhohk1990,맛잇어요,2019년 10월 29일 화요일,1번째 방문,
wld****,개롱에서 스벅만가요~~맛있고 안락해요 ㅎㅎ,2019년 8월 4일 일요일,1번째 방문,
re****,쾌적하고 친절하여 좋습니다,2019년 6월 15일 토요일,2번째 방문,
re****,공간도 넓고 음료종류도 다양하고 좋아요,2019년 5월 11일 토요일,1번째 방문,
JYL77,넓고좋음,2019년 10월 8일 화요일,1번째 방문,
예비작가,서비스는 친절하지만 사람이 잘 몰리는 성향이 있습니다. 이번 여름은 자리싸움이 기다려 집니다.,2019년 5월 10일 금요일,1번째 방문,
와인러버찡찡이,개롱역근처. 분위기는 그냥그냥,2019년 5월 10일 금요일,1번째 방문,
진디에어,굿,2019년 12월 26일 목요일,1번째 방문,
쏠미레도,커피 맛 좋아요 💙,2019년 5월 25일 토요일,1번째 방문,
ice****,스벅은 늘 만족스러워요,2019년 6월 2일 일요일,1번째 방문,
HAECCI,👍,2019년 6월 22일 토요일,1번째 방문,
ttttour,존맛탱이에영 좋아요,2019년 4월 29일 월요일,1번째 방문,
날이좋아서32,너무 좋았어요. 커피도 맛있구 분위기도 좋구,2019년 2월 21일 목요일,1번째 방문,
까꿍4328,맛있어요 핫초코~~,2018년 12월 7일 금요일,1번째 방문,
스까리4836,★★★★★,2018년 10월 13일 토요일,1번째 방문,
tl****,굳,2018년 9월 4일 화요일,1번째 방문,
kim****,좋아요,2018년 8월 8일 수요일,1번째 방문,
하치코00,굿,2018년 3월 24일 토요일,1번째 방문,
ho****,좋아요.,2017년 1월 1일 일요일,1번째 방문,
이득기,커피사러,209년 11월 9일 목요일,1번째 방문,
